timestamp,split_type,held_out,accuracy,eer,auroc,session_accuracy,session_auroc,n_sessions,false_accept_unauthorized,false_accept_none,n_train,n_test,notes
2026-09-24T04:20:54.956783+00:00,open_set_loo_stranger,abdul,0.9254797951891554,0.07451395739496705,0.9684255977701047,0.8333333333333334,0.8671875,24,0.9572784810126582,0.012638580931263858,150893,27147,leave-one-unauthorized-person-out
2026-09-24T04:20:57.590946+00:00,open_set_loo_stranger,divya,0.8155103512514648,0.18448855471076842,0.8950753626119743,0.8387096774193549,0.8875000000000001,31,0.42521430682825895,0.003880266075388027,144759,33281,leave-one-unauthorized-person-out
2026-09-24T04:21:00.223543+00:00,open_set_loo_stranger,harshitha,0.851159123166693,0.14884068615965274,0.9316386284288726,0.8928571428571429,0.9166666666666666,28,0.40115606936416187,0.003658536585365854,146335,31705,leave-one-unauthorized-person-out
2026-09-24T04:21:02.923459+00:00,open_set_loo_stranger,kishore,0.9335722466472087,0.06636041734567588,0.9753307553575989,0.875,0.9296875,24,0.9710144927536232,0.010753880266075388,150973,27067,leave-one-unauthorized-person-out
2026-09-24T04:21:05.605030+00:00,open_set_loo_stranger,manas,0.89824675795117,0.101777723683235,0.9531861951091102,0.8076923076923077,0.875,26,0.8698441796516957,0.008980044345898004,150434,27606,leave-one-unauthorized-person-out
2026-09-24T04:21:08.274558+00:00,open_set_loo_stranger,promoda,0.7467176333721124,0.25327318074084937,0.8151339075433103,0.7916666666666666,0.75,24,0.8851540616246498,0.0031042128603104213,147955,30085,leave-one-unauthorized-person-out
2026-09-24T04:21:10.955387+00:00,open_set_loo_stranger,siva,0.9363137139276896,0.06371404784611925,0.9681613950590098,0.875,0.8671875,24,0.8300970873786407,0.01130820399113082,150907,27133,leave-one-unauthorized-person-out
2026-09-24T04:21:13.637459+00:00,open_set_loo_stranger,sumanth,0.7726488924260512,0.22734573491937704,0.8494991437972541,0.8214285714285714,0.78125,28,0.7783575940675639,0.004878048780487805,147884,30156,leave-one-unauthorized-person-out
2026-09-24T04:21:16.285212+00:00,open_set_loo_stranger,vishwa,0.8672618851513854,0.13274072573498433,0.9442641923646296,0.9583333333333334,0.9765625,24,0.4304325169359041,0.006097560975609756,147687,30353,leave-one-unauthorized-person-out
2026-09-24T04:21:18.943928+00:00,cross_day_loo,2026-09-15,0.697014006464522,0.30298830445273583,0.7751362779202331,0.7058823529411765,0.7607142857142857,34,0.6681266846361186,0.0033149171270718232,165046,12994,leave-one-day-out
2026-09-24T04:21:21.556787+00:00,cross_day_loo,2026-09-16,0.8217093583565813,0.17827727816270106,0.9001908559589353,0.7407407407407407,0.8500000000000001,27,0.711882229232387,0.0024271844660194173,158325,19715,leave-one-day-out
2026-09-24T04:21:24.229284+00:00,cross_day_loo,2026-09-17,0.7587160053499777,0.24131569659112365,0.8413293586337384,0.6,0.66,20,0.8287153652392947,0.05952937509739754,166825,11215,leave-one-day-out
2026-09-24T04:21:26.681026+00:00,cross_day_loo,2026-09-21,0.5958236658932715,0.40421386711176044,0.6314146032268512,0.7,0.8020833333333334,20,0.5937910643889619,0.23559520327581165,132785,45255,leave-one-day-out
2026-09-24T04:21:28.843529+00:00,cross_day_loo,2026-09-22,0.7611100482776472,0.2388910487277187,0.8321559430607683,0.7619047619047619,0.7592592592592593,21,0.7115961346217927,0.11441607440554531,89179,88861,leave-one-day-out
2026-09-24T04:21:31.582093+00:00,session_disjoint_5fold,fold0,0.9770737579339024,nan,nan,1.0,nan,1,,0.022926242066097613,141488,36552,session-disjoint 5-fold
2026-09-24T04:21:34.132178+00:00,session_disjoint_5fold,fold1,0.8163046241631592,0.18369574281928103,0.8940656666854102,0.7096774193548387,0.8166666666666667,31,0.6099275671069451,0.023885604729189967,142639,35401,session-disjoint 5-fold
2026-09-24T04:21:36.675578+00:00,session_disjoint_5fold,fold2,0.8044725905402731,0.1955286743572959,0.8927865659174652,0.8275862068965517,0.9047619047619049,29,0.4232359426681367,0.008923528747317293,142669,35371,session-disjoint 5-fold
2026-09-24T04:21:39.249248+00:00,session_disjoint_5fold,fold3,0.7609285754679636,0.23907076219971568,0.851233592934067,0.6206896551724138,0.7596153846153846,29,0.40942457968269,0.017977873386601107,142674,35366,session-disjoint 5-fold
2026-09-24T04:21:41.810735+00:00,session_disjoint_5fold,fold4,0.7670155586987271,0.23294266461511792,0.8339758735286024,0.71875,0.8015873015873016,32,0.47237368229734644,0.035607420706163975,142690,35350,session-disjoint 5-fold
