timestamp,model,split_type,held_out,accuracy,eer,auroc,session_accuracy,session_auroc,n_sessions,false_accept_unauthorized,false_accept_none,identity_accuracy,n_train,n_test,notes
2026-09-24T03:24:33.294543+00:00,oc_svm,open_set_loo_stranger,abdul,0.3731904077798652,0.626810377531346,0.3457690534279701,0.20833333333333334,0.3515625,24,0.12658227848101267,0.6618625277161863,,150893,27147,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:24:43.769313+00:00,oc_svm,open_set_loo_stranger,divya,0.42144166341155614,0.5785579594205972,0.3973849979109342,0.45161290322580644,0.32083333333333336,31,0.4243275199527047,0.6942350332594235,,144759,33281,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:24:53.401091+00:00,oc_svm,open_set_loo_stranger,harshitha,0.3882668348840877,0.6117283534714553,0.3575119743672617,0.2857142857142857,0.27083333333333337,28,0.5073217726396917,0.671729490022173,,146335,31705,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:25:02.335620+00:00,oc_svm,open_set_loo_stranger,kishore,0.3719289171315624,0.6280735335162921,0.3499766932394391,0.20833333333333334,0.3671875,24,0.08876811594202899,0.6610864745011087,,150973,27067,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:25:11.412936+00:00,oc_svm,open_set_loo_stranger,manas,0.3821995218430776,0.617788359441692,0.35764824678704277,0.3076923076923077,0.41875,26,0.20898258478460127,0.6671840354767185,,150434,27606,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:25:21.121772+00:00,oc_svm,open_set_loo_stranger,promoda,0.39667608442745556,0.6033256069304722,0.36675967103729396,0.2916666666666667,0.25,24,0.4126050420168067,0.6788248337028825,,147955,30085,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:25:30.065977+00:00,oc_svm,open_set_loo_stranger,siva,0.37301441049644346,0.6269882196205705,0.34665993859093885,0.20833333333333334,0.359375,24,0.11812297734627832,0.6618625277161863,,150907,27133,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:25:39.737516+00:00,oc_svm,open_set_loo_stranger,sumanth,0.390966971746916,0.6090333864783012,0.362451099402429,0.32142857142857145,0.3125,28,0.4468552595440813,0.6745011086474502,,147884,30156,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:25:49.462971+00:00,oc_svm,open_set_loo_stranger,vishwa,0.3963693868810332,0.6036256409237384,0.36551352516291236,0.2916666666666667,0.25,24,0.4270453361125586,0.6787139689578714,,147687,30353,"leave-one-unauthorized-person-out, includes none"
2026-09-24T03:25:54.612307+00:00,oc_svm,cross_day_loo,2026-09-15,0.34993073726335233,0.6500685216368003,0.31751035146353573,0.2647058823529412,0.20714285714285713,34,0.4113881401617251,0.8458563535911602,,165046,12994,leave-one-day-out (cross-day generalization)
2026-09-24T03:26:01.097300+00:00,oc_svm,cross_day_loo,2026-09-16,0.254070504691859,0.7459280797789025,0.20103432231180532,0.37037037037037035,0.35,27,0.27584998247458814,0.9009477577438743,,158325,19715,leave-one-day-out (cross-day generalization)
2026-09-24T03:26:05.802376+00:00,oc_svm,cross_day_loo,2026-09-17,0.39358002674988857,0.6063183625722482,0.3604037533426309,0.3,0.38999999999999996,20,0.45692695214105794,0.6527972572853358,,166825,11215,leave-one-day-out (cross-day generalization)
2026-09-24T03:26:19.480883+00:00,oc_svm,cross_day_loo,2026-09-21,0.4924759695061319,0.507518096129943,0.49049758357482065,0.45,0.6145833333333333,20,0.4666557161629435,0.5438724773325534,,132785,45255,leave-one-day-out (cross-day generalization)
2026-09-24T03:26:45.102229+00:00,oc_svm,cross_day_loo,2026-09-22,0.4053521792462385,0.5946475086278533,0.3674996412016194,0.3333333333333333,0.32407407407407407,21,0.42594135288237256,0.6390716855312801,,89179,88861,leave-one-day-out (cross-day generalization)
2026-09-24T03:26:56.692129+00:00,oc_svm,session_disjoint_5fold,fold0,0.04741190632523528,nan,nan,0.0,nan,1,,0.9525880936747647,,141488,36552,session-disjoint 5-fold (all folds)
2026-09-24T03:27:07.111176+00:00,oc_svm,session_disjoint_5fold,fold1,0.4250444902686365,0.5749553002789787,0.40106910210624835,0.41935483870967744,0.4666666666666667,31,0.40029825308904987,0.640437769611759,,142639,35401,session-disjoint 5-fold (all folds)
2026-09-24T03:27:18.291881+00:00,oc_svm,session_disjoint_5fold,fold2,0.45240451217098754,0.5475943918525814,0.42931551492612635,0.4482758620689655,0.319047619047619,29,0.4572767364939361,0.6215971986897098,,142669,35371,session-disjoint 5-fold (all folds)
