timestamp,model,split_type,held_out,accuracy,eer,auroc,session_accuracy,session_auroc,n_sessions,false_accept_unauthorized,false_accept_none,n_train,n_test,notes
2026-09-24T03:42:48.054416+00:00,whofi,open_set_loo_stranger,abdul,0.9087191954912145,0.06614531509624383,0.9786616257773965,0.9583333333333334,0.9765625,24,0.5395569620253164,0.009977827050997782,150893,27147,leave-one-unauthorized-person-out
2026-09-24T03:42:48.055048+00:00,whofi,open_set_loo_stranger,divya,0.8475406388029206,0.16438799531038298,0.9107182476019737,0.7741935483870968,0.875,31,0.475465563109666,0.03403547671840355,144759,33281,leave-one-unauthorized-person-out
2026-09-24T03:42:48.055341+00:00,whofi,open_set_loo_stranger,harshitha,0.8474057719602587,0.1144933437300574,0.9452444078221606,0.7857142857142857,0.9479166666666667,28,0.20674373795761078,0.003436807095343681,146335,31705,leave-one-unauthorized-person-out
2026-09-24T03:42:48.055586+00:00,whofi,open_set_loo_stranger,kishore,0.8775261388406547,0.09956626315655587,0.9685911394659115,0.9166666666666666,0.953125,24,0.6177536231884058,0.03248337028824834,150973,27067,leave-one-unauthorized-person-out
2026-09-24T03:42:48.055817+00:00,whofi,open_set_loo_stranger,manas,0.9007099905817576,0.09711770369193465,0.9589434979642514,0.8461538461538461,0.89375,26,0.7791017415215399,0.013082039911308204,150434,27606,leave-one-unauthorized-person-out
2026-09-24T03:42:48.056054+00:00,whofi,open_set_loo_stranger,promoda,0.7906930363968755,0.26811295908668786,0.8205793530932814,0.875,0.75,24,0.9633053221288516,0.01851441241685144,147955,30085,leave-one-unauthorized-person-out
2026-09-24T03:42:48.056325+00:00,whofi,open_set_loo_stranger,siva,0.8808462020417941,0.07402287470626445,0.9666859134626021,0.9166666666666666,0.8828125,24,0.8365695792880259,0.007095343680709534,150907,27133,leave-one-unauthorized-person-out
2026-09-24T03:42:48.056605+00:00,whofi,open_set_loo_stranger,sumanth,0.8095238095238095,0.2412124745538115,0.8380642610402932,0.8214285714285714,0.7395833333333333,28,0.9173304037352376,0.021175166297117517,147884,30156,leave-one-unauthorized-person-out
2026-09-24T03:42:48.056798+00:00,whofi,open_set_loo_stranger,vishwa,0.8644285573089975,0.11535230540059198,0.9453307660153638,0.9583333333333334,0.96875,24,0.2761855132881709,0.019068736141906874,147687,30353,leave-one-unauthorized-person-out
2026-09-24T05:19:58.029525+00:00,whofi,open_set_loo_stranger,abdul,0.8822337643201827,0.0827736377701663,0.9721125638051581,0.8333333333333334,0.90625,24,0.8117088607594937,0.02006651884700665,150893,27147,leave-one-unauthorized-person-out
2026-09-24T05:19:58.030029+00:00,whofi,open_set_loo_stranger,divya,0.8616327634385986,0.15135017309790816,0.9170999717680103,0.8387096774193549,0.8708333333333333,31,0.3844221105527638,0.011751662971175166,144759,33281,leave-one-unauthorized-person-out
2026-09-24T05:19:58.030285+00:00,whofi,open_set_loo_stranger,harshitha,0.8738053934710613,0.11825108772406874,0.953771185051565,0.8214285714285714,0.9270833333333334,28,0.21078998073217725,0.0475609756097561,146335,31705,leave-one-unauthorized-person-out
2026-09-24T05:19:58.030466+00:00,whofi,open_set_loo_stranger,kishore,0.911146414453024,0.08740073726515138,0.9693644037989722,0.9166666666666666,0.96875,24,0.7228260869565217,0.04711751662971175,150973,27067,leave-one-unauthorized-person-out
2026-09-24T05:19:58.030629+00:00,whofi,open_set_loo_stranger,manas,0.8690864304861262,0.09877401709840436,0.945979549831961,0.8461538461538461,0.875,26,0.7131072410632447,0.00975609756097561,150434,27606,leave-one-unauthorized-person-out
2026-09-24T05:19:58.030783+00:00,whofi,open_set_loo_stranger,promoda,0.8121322918397873,0.26657560846273787,0.841839409013037,0.8333333333333334,0.7421875,24,0.9803921568627451,0.014745011086474502,147955,30085,leave-one-unauthorized-person-out
2026-09-24T05:19:58.030934+00:00,whofi,open_set_loo_stranger,siva,0.9067187557586702,0.07399429511209471,0.9689927919998012,0.9583333333333334,0.90625,24,0.6957928802588996,0.016407982261640797,150907,27133,leave-one-unauthorized-person-out
2026-09-24T05:19:58.031080+00:00,whofi,open_set_loo_stranger,sumanth,0.8107507627006234,0.22585232979447634,0.8399046957101648,0.8214285714285714,0.7916666666666666,28,0.8593792914034606,0.014301552106430155,147884,30156,leave-one-unauthorized-person-out
2026-09-24T05:19:58.031267+00:00,whofi,open_set_loo_stranger,vishwa,0.8730603235265048,0.08430764677293084,0.9697878770864959,0.875,1.0,24,0.11177696717040125,0.012305986696230599,147687,30353,leave-one-unauthorized-person-out
2026-09-24T05:28:43.528091+00:00,whofi,cross_day_loo,2026-09-15,0.6796983223026012,0.29652035764133544,0.7642885668433567,0.7058823529411765,0.7428571428571429,34,0.5798517520215634,0.0035911602209944752,165046,12994,leave-one-day-out
2026-09-24T05:28:43.528516+00:00,whofi,cross_day_loo,2026-09-16,0.4810043114379914,0.4782120891144611,0.5365540587394879,0.7037037037037037,0.5888888888888889,27,0.5516999649491763,0.7264216366158114,158325,19715,leave-one-day-out
2026-09-24T05:28:43.528775+00:00,whofi,cross_day_loo,2026-09-17,0.6630405706642889,0.41102009805360956,0.5943326174688148,0.5,0.6,20,0.2977329974811083,0.19510674770141812,166825,11215,leave-one-day-out
2026-09-24T05:28:43.529013+00:00,whofi,cross_day_loo,2026-09-21,0.5835377306374986,0.3900594038085926,0.6471703098242991,0.65,0.7291666666666667,20,0.5768725361366623,0.14463293360631763,132785,45255,leave-one-day-out
2026-09-24T05:28:43.529220+00:00,whofi,cross_day_loo,2026-09-22,0.6332361778508007,0.3254393211133493,0.7529971959018634,0.6190476190476191,0.8981481481481481,21,0.8732089303565478,0.4517197508116171,89179,88861,leave-one-day-out
2026-09-24T05:48:12.188319+00:00,dualbranch,open_set_loo_stranger,abdul,0.8702250709102295,0.08704101947545964,0.9552461795075664,0.875,0.9296875,24,0.7183544303797469,0.008203991130820399,150893,27147,leave-one-unauthorized-person-out
2026-09-24T05:48:12.188816+00:00,dualbranch,open_set_loo_stranger,divya,0.8656290375890148,0.1551051707702264,0.9183873733158707,0.8387096774193549,0.8833333333333334,31,0.43304759089565475,0.012084257206208426,144759,33281,leave-one-unauthorized-person-out
2026-09-24T05:48:12.189090+00:00,dualbranch,open_set_loo_stranger,harshitha,0.8649108973348052,0.10395672514455223,0.9536363018367165,0.8928571428571429,0.90625,28,0.21541425818882468,0.004767184035476719,146335,31705,leave-one-unauthorized-person-out
2026-09-24T05:48:12.189355+00:00,dualbranch,open_set_loo_stranger,kishore,0.9245206339823401,0.08256370663840797,0.9726784065938724,0.875,0.9609375,24,0.802536231884058,0.05155210643015521,150973,27067,leave-one-unauthorized-person-out
2026-09-24T05:48:12.189590+00:00,dualbranch,open_set_loo_stranger,manas,0.8970151416358763,0.1012963761577725,0.9517354648341958,0.8461538461538461,0.8875,26,0.8240146654445463,0.012971175166297118,150434,27606,leave-one-unauthorized-person-out
2026-09-24T05:48:12.189816+00:00,dualbranch,open_set_loo_stranger,promoda,0.8266578028918066,0.27046500974634535,0.8174766919675905,0.9166666666666666,0.75,24,0.9899159663865547,0.028381374722838137,147955,30085,leave-one-unauthorized-person-out
2026-09-24T05:48:12.190053+00:00,dualbranch,open_set_loo_stranger,siva,0.8435115910514871,0.06355313269181168,0.9624268837727389,0.875,0.890625,24,0.6456310679611651,0.0028824833702882483,150907,27133,leave-one-unauthorized-person-out
2026-09-24T05:48:12.190313+00:00,dualbranch,open_set_loo_stranger,sumanth,0.789428306141398,0.23710119350109826,0.8392448097879139,0.7857142857142857,0.765625,28,0.8187311178247734,0.030376940133037694,147884,30156,leave-one-unauthorized-person-out
2026-09-24T05:48:12.190541+00:00,dualbranch,open_set_loo_stranger,vishwa,0.907257931670675,0.07597419230194916,0.9727085946961449,1.0,1.0,24,0.13835330901511203,0.020399113082039913,147687,30353,leave-one-unauthorized-person-out
2026-09-24T05:58:53.079257+00:00,dualbranch,cross_day_loo,2026-09-15,0.6511466830845005,0.32468841824632755,0.7313321309466062,0.6764705882352942,0.7035714285714285,34,0.5714285714285714,0.010497237569060774,165046,12994,leave-one-day-out
2026-09-24T05:58:53.079666+00:00,dualbranch,cross_day_loo,2026-09-16,0.5585087496829825,0.41013955696855836,0.6324370805258107,0.5925925925925926,0.6444444444444444,27,0.7879425166491413,0.5505085529357374,158325,19715,leave-one-day-out
2026-09-24T05:58:53.079869+00:00,dualbranch,cross_day_loo,2026-09-17,0.7016495764600981,0.3014666788746403,0.7421405387118145,0.6,0.55,20,0.7098236775818639,0.16129032258064516,166825,11215,leave-one-day-out
2026-09-24T05:58:53.080031+00:00,dualbranch,cross_day_loo,2026-09-21,0.531322505800464,0.3994415537929756,0.6454773270999323,0.5,0.78125,20,0.4443166885676741,0.17183386955250074,132785,45255,leave-one-day-out
2026-09-24T05:58:53.080204+00:00,dualbranch,cross_day_loo,2026-09-22,0.6532337020740258,0.22097691537841424,0.8227445741881837,0.6666666666666666,0.9444444444444445,21,0.8266411196267911,0.42748091603053434,89179,88861,leave-one-day-out
2026-09-24T06:29:04.934888+00:00,crossattn,open_set_loo_stranger,abdul,0.8999521125722916,0.0736422620067755,0.9621267049599276,0.9166666666666666,0.9140625,24,0.6265822784810127,0.008980044345898004,150893,27147,leave-one-unauthorized-person-out
