timestamp,split_type,held_out,accuracy,eer,auroc,session_accuracy,session_auroc,n_sessions,false_accept_unauthorized,false_accept_none,calibrated_accept_rate,n_train,n_test,notes
2026-09-24T04:36:47.259929+00:00,open_set_loo_stranger,abdul,0.38873540354366964,0.6112663176395079,0.29114192178761156,0.3333333333333333,0.1875,24,0.13924050632911392,0.6443458980044345,0.9510443142888717,150893,27147,leave-one-unauthorized-person-out
2026-09-24T04:36:47.260524+00:00,open_set_loo_stranger,divya,0.668279198341396,0.3317222107621417,0.6789137252188431,0.6774193548387096,0.6333333333333333,31,0.5911912503694945,0.13713968957871397,0.9056518734413028,144759,33281,leave-one-unauthorized-person-out
2026-09-24T04:36:47.260740+00:00,open_set_loo_stranger,harshitha,0.5152499605740419,0.48474807017346266,0.49941931131826345,0.6071428571428571,0.4479166666666667,28,0.6136801541425819,0.4105321507760532,0.9326604636492667,146335,31705,leave-one-unauthorized-person-out
2026-09-24T04:36:47.260912+00:00,open_set_loo_stranger,kishore,0.5502272139505671,0.44976746087205144,0.5600599783330131,0.5416666666666666,0.59375,24,0.802536231884058,0.42815964523281597,0.9513799091144197,150973,27067,leave-one-unauthorized-person-out
2026-09-24T04:36:47.261066+00:00,open_set_loo_stranger,manas,0.5398826342099543,0.46011221709388744,0.5708561630661023,0.5769230769230769,0.5875,26,0.6691109074243813,0.43481152993348116,0.9369702238643773,150434,27606,leave-one-unauthorized-person-out
2026-09-24T04:36:47.261238+00:00,open_set_loo_stranger,promoda,0.4704670101379425,0.5295349902536547,0.3763317353125516,0.5416666666666666,0.1875,24,0.3226890756302521,0.6114190687361419,0.944823001495762,147955,30085,leave-one-unauthorized-person-out
2026-09-24T04:36:47.261403+00:00,open_set_loo_stranger,siva,0.6256956473666753,0.37429164684114236,0.6828596953055868,0.625,0.4296875,24,0.3656957928802589,0.37483370288248336,0.9094460619909336,150907,27133,leave-one-unauthorized-person-out
2026-09-24T04:36:47.261553+00:00,open_set_loo_stranger,sumanth,0.5087213158243798,0.4912778175600692,0.48701625492916734,0.5357142857142857,0.4166666666666667,28,0.647349629222741,0.42827050997782706,0.9425653269664411,147884,30156,leave-one-unauthorized-person-out
2026-09-24T04:36:47.261690+00:00,open_set_loo_stranger,vishwa,0.6024445689058742,0.39755782500086356,0.5935511428259106,0.8333333333333334,0.5859375,24,0.5799895779051589,0.31995565410199556,0.9100253681678911,147687,30353,leave-one-unauthorized-person-out
2026-09-24T04:44:10.271296+00:00,cross_day_loo,2026-09-15,0.6152839772202555,0.38471712065627606,0.6117026487008139,0.7058823529411765,0.5428571428571429,34,0.5417789757412399,0.2558011049723757,0.9714483607818993,165046,12994,leave-one-day-out
2026-09-24T04:44:10.271725+00:00,cross_day_loo,2026-09-16,0.5160537661678924,0.48394277020900195,0.5407802835286888,0.3333333333333333,0.6055555555555556,27,0.596565019277953,0.446833102172908,0.9531828556936343,158325,19715,leave-one-day-out
2026-09-24T04:44:10.271949+00:00,cross_day_loo,2026-09-17,0.699598751671868,0.3002796170363175,0.6879813077532282,0.55,0.7100000000000001,20,0.6544080604534005,0.19105501012934392,0.9751226036558182,166825,11215,leave-one-day-out
2026-09-24T04:44:10.272239+00:00,cross_day_loo,2026-09-21,0.44549773505689977,0.5545139592515402,0.42381614592623923,0.25,0.22916666666666669,20,0.47322601839684625,0.6269377010821878,0.9265274555297757,132785,45255,leave-one-day-out
2026-09-24T04:44:10.272446+00:00,cross_day_loo,2026-09-22,0.5644996117531875,0.43550286115581943,0.5506693724908962,0.6666666666666666,0.6759259259259259,21,0.42302565811396203,0.438777748530315,0.943698585431179,89179,88861,leave-one-day-out
