timestamp,split_type,held_out,accuracy,eer,auroc,session_accuracy,session_auroc,n_sessions,false_accept_unauthorized,false_accept_none,n_train,n_test,notes
2026-09-24T04:22:39.178925+00:00,open_set_loo_stranger,abdul,0.13202195454378016,0.8813377589263264,0.12123188769699993,0.16666666666666666,0.21875,24,0.19936708860759494,0.9786031042128603,150893,27147,"leave-one-unauthorized-person-out, sequential CUSUM replay"
2026-09-24T04:22:40.023849+00:00,open_set_loo_stranger,divya,0.302034193684084,0.6979686274049739,0.25408830678197425,0.25806451612903225,0.17083333333333334,31,0.3189476795743423,0.9823725055432373,144759,33281,"leave-one-unauthorized-person-out, sequential CUSUM replay"
2026-09-24T04:22:40.847078+00:00,open_set_loo_stranger,harshitha,0.1975713609840719,0.8024318700487261,0.17321229208144118,0.21428571428571427,0.12500000000000003,28,0.49383429672447016,0.9800443458980045,146335,31705,"leave-one-unauthorized-person-out, sequential CUSUM replay"
2026-09-24T04:22:41.596987+00:00,open_set_loo_stranger,kishore,0.13385303136660878,0.8789979335030593,0.12497037240775738,0.16666666666666666,0.2734375,24,0.012681159420289856,0.9786031042128603,150973,27067,"leave-one-unauthorized-person-out, sequential CUSUM replay"
2026-09-24T04:22:42.356089+00:00,open_set_loo_stranger,manas,0.1437368687966384,0.8639923372429423,0.13914313622364202,0.23076923076923078,0.25000000000000006,26,0.1842346471127406,0.9786031042128603,150434,27606,"leave-one-unauthorized-person-out, sequential CUSUM replay"
2026-09-24T04:22:43.144871+00:00,open_set_loo_stranger,promoda,0.20957287684892803,0.7904329411262631,0.17418269057243407,0.16666666666666666,0.1171875,24,0.31064425770308124,0.9803769401330377,147955,30085,"leave-one-unauthorized-person-out, sequential CUSUM replay"
2026-09-24T04:22:43.892836+00:00,open_set_loo_stranger,siva,0.13389599380827774,0.8787431395481862,0.12443238607111591,0.16666666666666666,0.2421875,24,0.10194174757281553,0.9786031042128603,150907,27133,"leave-one-unauthorized-person-out, sequential CUSUM replay"
2026-09-24T04:22:44.691491+00:00,open_set_loo_stranger,sumanth,0.16461069107308662,0.8354453512720155,0.14712008501690005,0.21428571428571427,0.16145833333333331,28,0.48201043669321614,0.9786031042128603,147884,30156,"leave-one-unauthorized-person-out, sequential CUSUM replay"
2026-09-24T04:22:45.490348+00:00,open_set_loo_stranger,vishwa,0.22251507264520806,0.7774756389966495,0.18832313532151107,0.20833333333333334,0.1328125,24,0.29937467430953624,0.980820399113082,147687,30353,"leave-one-unauthorized-person-out, sequential CUSUM replay"
2026-09-24T04:22:45.972271+00:00,cross_day_loo,2026-09-15,0.2795905802678159,0.720409543193511,0.2117867593772611,0.20588235294117646,0.225,34,0.39016172506738545,0.9911602209944751,165046,12994,"leave-one-day-out, sequential CUSUM replay"
2026-09-24T04:22:46.536560+00:00,cross_day_loo,2026-09-16,0.19781891960436215,0.8021478243055897,0.14839857266951137,0.3333333333333333,0.2666666666666666,27,0.21556256572029442,0.9958391123439667,158325,19715,"leave-one-day-out, sequential CUSUM replay"
2026-09-24T04:22:46.977470+00:00,cross_day_loo,2026-09-17,0.20740080249665627,0.7542217996443046,0.23446997240428175,0.5,0.28,20,0.38841309823677583,0.9682094436652642,166825,11215,"leave-one-day-out, sequential CUSUM replay"
2026-09-24T04:22:47.887404+00:00,cross_day_loo,2026-09-21,0.5306374986189372,0.541262108658338,0.45703285624841344,0.55,0.5625,20,0.5525624178712221,0.8482012284293653,132785,45255,"leave-one-day-out, sequential CUSUM replay"
2026-09-24T04:22:49.455491+00:00,cross_day_loo,2026-09-22,0.19164762944373798,0.8083496643958517,0.1816798945069013,0.2857142857142857,0.3055555555555556,21,0.2018493835388204,0.9680617706413969,89179,88861,"leave-one-day-out, sequential CUSUM replay"
