accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,feature,labels,granularity
0.4625,0.51875,0.7677165354330708,0.40625,0.5313351498637602,"[[101, 59], [285, 195]]",2026-09-21,random_forest,doppler,shuffled_0,window
0.25,0.5,0.0,0.0,0.0,"[[2, 0], [6, 0]]",2026-09-21,random_forest,doppler,shuffled_0,session
0.7,0.5,0.7,1.0,0.8235294117647058,"[[0, 240], [0, 560]]",2026-09-22,svm,doppler,shuffled_0,window
0.7,0.5,0.7,1.0,0.8235294117647058,"[[0, 3], [0, 7]]",2026-09-22,svm,doppler,shuffled_0,session
0.565,0.5166666666666666,0.7111553784860558,0.6375,0.672316384180791,"[[95, 145], [203, 357]]",2026-09-22,random_forest,doppler,shuffled_0,window
0.6,0.42857142857142855,0.6666666666666666,0.8571428571428571,0.75,"[[0, 3], [1, 6]]",2026-09-22,random_forest,doppler,shuffled_0,session
0.6163461538461539,0.50125,0.6159769008662175,1.0,0.7623585467540203,"[[1, 399], [0, 640]]",2026-09-24,svm,doppler,shuffled_0,window
0.6153846153846154,0.5,0.6153846153846154,1.0,0.7619047619047619,"[[0, 5], [0, 8]]",2026-09-24,svm,doppler,shuffled_0,session
0.5923076923076923,0.498125,0.614406779661017,0.90625,0.7323232323232324,"[[36, 364], [60, 580]]",2026-09-24,random_forest,doppler,shuffled_0,window
0.6153846153846154,0.5,0.6153846153846154,1.0,0.7619047619047619,"[[0, 5], [0, 8]]",2026-09-24,random_forest,doppler,shuffled_0,session
0.6002034587995931,0.5,0.6002034587995931,1.0,0.7501589319771138,"[[0, 393], [0, 590]]",2026-09-15,svm,doppler,shuffled_1,window
0.5714285714285714,0.5,0.5714285714285714,1.0,0.7272727272727273,"[[0, 6], [0, 8]]",2026-09-15,svm,doppler,shuffled_1,session
0.5910478128179044,0.5450489498425842,0.6294765840220385,0.7745762711864407,0.6945288753799392,"[[124, 269], [133, 457]]",2026-09-15,random_forest,doppler,shuffled_1,window
0.7142857142857143,0.6666666666666666,0.6666666666666666,1.0,0.8,"[[2, 4], [0, 8]]",2026-09-15,random_forest,doppler,shuffled_1,session
0.6844919786096256,0.5,0.6844919786096256,1.0,0.8126984126984127,"[[0, 295], [0, 640]]",2026-09-16,svm,doppler,shuffled_1,window
0.6153846153846154,0.5,0.6153846153846154,1.0,0.7619047619047619,"[[0, 5], [0, 8]]",2026-09-16,svm,doppler,shuffled_1,session
0.43315508021390375,0.53203125,0.7412280701754386,0.2640625,0.38940092165898615,"[[236, 59], [471, 169]]",2026-09-16,random_forest,doppler,shuffled_1,window
0.38461538461538464,0.4625,0.5,0.125,0.2,"[[4, 1], [7, 1]]",2026-09-16,random_forest,doppler,shuffled_1,session
0.6330275229357798,0.5,0.6330275229357798,1.0,0.7752808988764045,"[[0, 160], [0, 276]]",2026-09-17,svm,doppler,shuffled_1,window
0.625,0.5,0.625,1.0,0.7692307692307693,"[[0, 3], [0, 5]]",2026-09-17,svm,doppler,shuffled_1,session
0.5068807339449541,0.5566576086956522,0.7132867132867133,0.3695652173913043,0.48687350835322196,"[[119, 41], [174, 102]]",2026-09-17,random_forest,doppler,shuffled_1,window
0.5,0.6,1.0,0.2,0.3333333333333333,"[[3, 0], [4, 1]]",2026-09-17,random_forest,doppler,shuffled_1,session
0.75,0.5,0.75,1.0,0.8571428571428571,"[[0, 160], [0, 480]]",2026-09-21,svm,doppler,shuffled_1,window
0.75,0.5,0.75,1.0,0.8571428571428571,"[[0, 2], [0, 6]]",2026-09-21,svm,doppler,shuffled_1,session
0.7515625,0.5114583333333333,0.7543581616481775,0.9916666666666667,0.8568856885688569,"[[5, 155], [4, 476]]",2026-09-21,random_forest,doppler,shuffled_1,window
0.75,0.5,0.75,1.0,0.8571428571428571,"[[0, 2], [0, 6]]",2026-09-21,random_forest,doppler,shuffled_1,session
0.7,0.5,0.7,1.0,0.8235294117647058,"[[0, 240], [0, 560]]",2026-09-22,svm,doppler,shuffled_1,window
0.7,0.5,0.7,1.0,0.8235294117647058,"[[0, 3], [0, 7]]",2026-09-22,svm,doppler,shuffled_1,session
0.69625,0.5008928571428571,0.7003792667509482,0.9892857142857143,0.8201332346410066,"[[3, 237], [6, 554]]",2026-09-22,random_forest,doppler,shuffled_1,window
0.7,0.5,0.7,1.0,0.8235294117647058,"[[0, 3], [0, 7]]",2026-09-22,random_forest,doppler,shuffled_1,session
0.7682692307692308,0.499375,0.7690086621751684,0.99875,0.8689505165851006,"[[0, 240], [1, 799]]",2026-09-24,svm,doppler,shuffled_1,window
0.7692307692307693,0.5,0.7692307692307693,1.0,0.8695652173913043,"[[0, 3], [0, 10]]",2026-09-24,svm,doppler,shuffled_1,session
0.7471153846153846,0.49874999999999997,0.7687687687687688,0.96,0.8538076709282935,"[[9, 231], [32, 768]]",2026-09-24,random_forest,doppler,shuffled_1,window
0.7692307692307693,0.5,0.7692307692307693,1.0,0.8695652173913043,"[[0, 3], [0, 10]]",2026-09-24,random_forest,doppler,shuffled_1,session
0.7619532044760936,0.5,0.7619532044760936,1.0,0.8648960739030023,"[[0, 234], [0, 749]]",2026-09-15,svm,doppler,shuffled_2,window
0.7857142857142857,0.5,0.7857142857142857,1.0,0.88,"[[0, 3], [0, 11]]",2026-09-15,svm,doppler,shuffled_2,session
0.32044760935910477,0.521749797450732,0.824,0.1375166889185581,0.23569794050343248,"[[212, 22], [646, 103]]",2026-09-15,random_forest,doppler,shuffled_2,window
0.21428571428571427,0.5,0.0,0.0,0.0,"[[3, 0], [11, 0]]",2026-09-15,random_forest,doppler,shuffled_2,session
0.48663101604278075,0.5002816630485559,0.48464163822525597,0.9403973509933775,0.6396396396396397,"[[29, 453], [27, 426]]",2026-09-16,svm,doppler,shuffled_2,window
0.46153846153846156,0.5,0.46153846153846156,1.0,0.631578947368421,"[[0, 7], [0, 6]]",2026-09-16,svm,doppler,shuffled_2,session
0.4855614973262032,0.49120890696417613,0.4780564263322884,0.673289183222958,0.5591200733272227,"[[149, 333], [148, 305]]",2026-09-16,random_forest,doppler,shuffled_2,window
0.46153846153846156,0.47619047619047616,0.4444444444444444,0.6666666666666666,0.5333333333333333,"[[2, 5], [2, 4]]",2026-09-16,random_forest,doppler,shuffled_2,session
0.6353211009174312,0.5,0.6353211009174312,1.0,0.7769985974754559,"[[0, 159], [0, 277]]",2026-09-17,svm,doppler,shuffled_2,window
0.625,0.5,0.625,1.0,0.7692307692307693,"[[0, 3], [0, 5]]",2026-09-17,svm,doppler,shuffled_2,session
0.5389908256880734,0.623788116159208,0.8958333333333334,0.3104693140794224,0.46112600536193027,"[[149, 10], [191, 86]]",2026-09-17,random_forest,doppler,shuffled_2,window
0.5,0.6,1.0,0.2,0.3333333333333333,"[[3, 0], [4, 1]]",2026-09-17,random_forest,doppler,shuffled_2,session
0.75,0.5,0.75,1.0,0.8571428571428571,"[[0, 160], [0, 480]]",2026-09-21,svm,doppler,shuffled_2,window
0.75,0.5,0.75,1.0,0.8571428571428571,"[[0, 2], [0, 6]]",2026-09-21,svm,doppler,shuffled_2,session
0.675,0.48125,0.7419928825622776,0.86875,0.800383877159309,"[[15, 145], [63, 417]]",2026-09-21,random_forest,doppler,shuffled_2,window
0.75,0.5,0.75,1.0,0.8571428571428571,"[[0, 2], [0, 6]]",2026-09-21,random_forest,doppler,shuffled_2,session
0.8,0.50234375,0.8007518796992481,0.9984375,0.8887343532684284,"[[1, 159], [1, 639]]",2026-09-22,svm,doppler,shuffled_2,window
0.8,0.5,0.8,1.0,0.8888888888888888,"[[0, 2], [0, 8]]",2026-09-22,svm,doppler,shuffled_2,session
0.72125,0.5,0.8,0.86875,0.8329588014981273,"[[21, 139], [84, 556]]",2026-09-22,random_forest,doppler,shuffled_2,window
0.8,0.5,0.8,1.0,0.8888888888888888,"[[0, 2], [0, 8]]",2026-09-22,random_forest,doppler,shuffled_2,session
0.6163461538461539,0.50125,0.6159769008662175,1.0,0.7623585467540203,"[[1, 399], [0, 640]]",2026-09-24,svm,doppler,shuffled_2,window
0.6153846153846154,0.5,0.6153846153846154,1.0,0.7619047619047619,"[[0, 5], [0, 8]]",2026-09-24,svm,doppler,shuffled_2,session
0.6105769230769231,0.49890625,0.6148582600195504,0.9828125,0.756464221286831,"[[6, 394], [11, 629]]",2026-09-24,random_forest,doppler,shuffled_2,window
0.6153846153846154,0.5,0.6153846153846154,1.0,0.7619047619047619,"[[0, 5], [0, 8]]",2026-09-24,random_forest,doppler,shuffled_2,session
0.7446592065106816,0.5,0.7446592065106816,1.0,0.8536443148688047,"[[0, 251], [0, 732]]",2026-09-15,svm,doppler,shuffled_3,window
0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,"[[0, 4], [0, 10]]",2026-09-15,svm,doppler,shuffled_3,session
0.7344862665310274,0.5429103259094769,0.7625418060200669,0.9344262295081968,0.8397790055248618,"[[38, 213], [48, 684]]",2026-09-15,random_forest,doppler,shuffled_3,window
0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,"[[0, 4], [0, 10]]",2026-09-15,random_forest,doppler,shuffled_3,session
0.7700534759358288,0.5,0.7700534759358288,1.0,0.8700906344410876,"[[0, 215], [0, 720]]",2026-09-16,svm,doppler,shuffled_3,window
0.7692307692307693,0.5,0.7692307692307693,1.0,0.8695652173913043,"[[0, 3], [0, 10]]",2026-09-16,svm,doppler,shuffled_3,session
0.706951871657754,0.5259043927648579,0.7808564231738035,0.8611111111111112,0.8190224570673712,"[[41, 174], [100, 620]]",2026-09-16,random_forest,doppler,shuffled_3,window
0.7692307692307693,0.5,0.7692307692307693,1.0,0.8695652173913043,"[[0, 3], [0, 10]]",2026-09-16,random_forest,doppler,shuffled_3,session
0.7454128440366973,0.5073853615520282,0.745958429561201,0.9969135802469136,0.8533685601056803,"[[2, 110], [1, 323]]",2026-09-17,svm,doppler,shuffled_3,window
0.75,0.5,0.75,1.0,0.8571428571428571,"[[0, 2], [0, 6]]",2026-09-17,svm,doppler,shuffled_3,session
0.7201834862385321,0.5342261904761905,0.7576530612244898,0.9166666666666666,0.8296089385474861,"[[17, 95], [27, 297]]",2026-09-17,random_forest,doppler,shuffled_3,window
0.75,0.5,0.75,1.0,0.8571428571428571,"[[0, 2], [0, 6]]",2026-09-17,random_forest,doppler,shuffled_3,session
0.25,0.4979166666666667,0.24921630094043887,0.99375,0.39849624060150374,"[[1, 479], [1, 159]]",2026-09-21,svm,doppler,shuffled_3,window
0.25,0.5,0.25,1.0,0.4,"[[0, 6], [0, 2]]",2026-09-21,svm,doppler,shuffled_3,session
0.5765625,0.4552083333333333,0.18994413407821228,0.2125,0.20058997050147492,"[[335, 145], [126, 34]]",2026-09-21,random_forest,doppler,shuffled_3,window
0.75,0.5,0.0,0.0,0.0,"[[6, 0], [2, 0]]",2026-09-21,random_forest,doppler,shuffled_3,session
0.51375,0.49910714285714286,0.6993006993006993,0.5357142857142857,0.6066734074823054,"[[111, 129], [260, 300]]",2026-09-22,svm,doppler,shuffled_3,window
0.7,0.5952380952380952,0.75,0.8571428571428571,0.8,"[[1, 2], [1, 6]]",2026-09-22,svm,doppler,shuffled_3,session
0.325,0.5023809523809524,0.717391304347826,0.05892857142857143,0.10891089108910891,"[[227, 13], [527, 33]]",2026-09-22,random_forest,doppler,shuffled_3,window
0.3,0.5,0.0,0.0,0.0,"[[3, 0], [7, 0]]",2026-09-22,random_forest,doppler,shuffled_3,session
0.4576923076923077,0.5137152777777778,0.7085561497326203,0.3680555555555556,0.4844606946983547,"[[211, 109], [455, 265]]",2026-09-24,svm,doppler,shuffled_3,window
0.3076923076923077,0.4305555555555556,0.5,0.1111111111111111,0.18181818181818182,"[[3, 1], [8, 1]]",2026-09-24,svm,doppler,shuffled_3,session
0.3269230769230769,0.5034722222222222,0.7272727272727273,0.044444444444444446,0.08376963350785341,"[[308, 12], [688, 32]]",2026-09-24,random_forest,doppler,shuffled_3,window
0.3076923076923077,0.5,0.0,0.0,0.0,"[[4, 0], [9, 0]]",2026-09-24,random_forest,doppler,shuffled_3,session
0.7792472024415056,0.5,0.7792472024415056,1.0,0.8759291023441966,"[[0, 217], [0, 766]]",2026-09-15,svm,doppler,shuffled_4,window
0.7857142857142857,0.5,0.7857142857142857,1.0,0.88,"[[0, 3], [0, 11]]",2026-09-15,svm,doppler,shuffled_4,session
0.7375381485249237,0.517825558590319,0.786036036036036,0.9112271540469974,0.8440145102781137,"[[27, 190], [68, 698]]",2026-09-15,random_forest,doppler,shuffled_4,window
0.7857142857142857,0.5,0.7857142857142857,1.0,0.88,"[[0, 3], [0, 11]]",2026-09-15,random_forest,doppler,shuffled_4,session
0.7390374331550802,0.49712230215827335,0.7422126745435016,0.9942446043165467,0.8499384993849939,"[[0, 240], [4, 691]]",2026-09-16,svm,doppler,shuffled_4,window
0.7692307692307693,0.5,0.7692307692307693,1.0,0.8695652173913043,"[[0, 3], [0, 10]]",2026-09-16,svm,doppler,shuffled_4,session
0.5786096256684492,0.44922062350119907,0.7171717171717171,0.7151079136690648,0.7161383285302594,"[[44, 196], [198, 497]]",2026-09-16,random_forest,doppler,shuffled_4,window
0.6153846153846154,0.4,0.7272727272727273,0.8,0.7619047619047619,"[[0, 3], [2, 8]]",2026-09-16,random_forest,doppler,shuffled_4,session
0.6215596330275229,0.5,0.6215596330275229,1.0,0.7666195190947667,"[[0, 165], [0, 271]]",2026-09-17,svm,doppler,shuffled_4,window
0.625,0.5,0.625,1.0,0.7692307692307693,"[[0, 3], [0, 5]]",2026-09-17,svm,doppler,shuffled_4,session
0.6192660550458715,0.5028961198702896,0.6229508196721312,0.981549815498155,0.7621776504297995,"[[4, 161], [5, 266]]",2026-09-17,random_forest,doppler,shuffled_4,window
0.625,0.5,0.625,1.0,0.7692307692307693,"[[0, 3], [0, 5]]",2026-09-17,random_forest,doppler,shuffled_4,session
0.328125,0.5196428571428572,0.891566265060241,0.2642857142857143,0.40771349862258954,"[[62, 18], [412, 148]]",2026-09-21,svm,doppler,shuffled_4,window
0.125,0.5,0.0,0.0,0.0,"[[1, 0], [7, 0]]",2026-09-21,svm,doppler,shuffled_4,session
0.13125,0.5035714285714286,1.0,0.007142857142857143,0.014184397163120567,"[[80, 0], [556, 4]]",2026-09-21,random_forest,doppler,shuffled_4,window
0.125,0.5,0.0,0.0,0.0,"[[1, 0], [7, 0]]",2026-09-21,random_forest,doppler,shuffled_4,session
0.49125,0.49125,0.4946727549467275,0.8125,0.6149479659413434,"[[68, 332], [75, 325]]",2026-09-22,svm,doppler,shuffled_4,window
0.5,0.5,0.5,1.0,0.6666666666666666,"[[0, 5], [0, 5]]",2026-09-22,svm,doppler,shuffled_4,session
0.47875,0.47875,0.44654088050314467,0.1775,0.25402504472271914,"[[312, 88], [329, 71]]",2026-09-22,random_forest,doppler,shuffled_4,window
0.5,0.5,0.0,0.0,0.0,"[[5, 0], [5, 0]]",2026-09-22,random_forest,doppler,shuffled_4,session
0.46153846153846156,0.5,0.46153846153846156,1.0,0.631578947368421,"[[0, 560], [0, 480]]",2026-09-24,svm,doppler,shuffled_4,window
0.46153846153846156,0.5,0.46153846153846156,1.0,0.631578947368421,"[[0, 7], [0, 6]]",2026-09-24,svm,doppler,shuffled_4,session
0.5576923076923077,0.5523809523809524,0.5225225225225225,0.48333333333333334,0.5021645021645021,"[[348, 212], [248, 232]]",2026-09-24,random_forest,doppler,shuffled_4,window
0.6153846153846154,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,"[[7, 0], [5, 1]]",2026-09-24,random_forest,doppler,shuffled_4,session
0.7212614445574771,0.5,0.7212614445574771,1.0,0.8380614657210402,"[[0, 274], [0, 709]]",2026-09-15,svm,doppler,shuffled_5,window
0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,"[[0, 4], [0, 10]]",2026-09-15,svm,doppler,shuffled_5,session
0.49440488301119023,0.5095564844079766,0.7294372294372294,0.47531734837799716,0.5755764304013663,"[[149, 125], [372, 337]]",2026-09-15,random_forest,doppler,shuffled_5,window
0.5,0.575,0.8,0.4,0.5333333333333333,"[[3, 1], [6, 4]]",2026-09-15,random_forest,doppler,shuffled_5,session
0.5732620320855615,0.5,0.5732620320855615,1.0,0.7287559483344663,"[[0, 399], [0, 536]]",2026-09-16,svm,doppler,shuffled_5,window
0.5384615384615384,0.5,0.5384615384615384,1.0,0.7,"[[0, 6], [0, 7]]",2026-09-16,svm,doppler,shuffled_5,session
0.5818181818181818,0.5193136759809973,0.5834292289988493,0.9458955223880597,0.7217081850533807,"[[37, 362], [29, 507]]",2026-09-16,random_forest,doppler,shuffled_5,window
