accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels,granularity
0.35,0.4930555555555556,0.6216216216216216,0.06388888888888888,0.11586901763224182,"[[166, 14], [337, 23]]",2026-09-16,svm,540,shuffled_1,window
0.3333333333333333,0.5,0.0,0.0,0.0,"[[3, 0], [6, 0]]",2026-09-16,svm,9,shuffled_1,session
0.3888888888888889,0.5263888888888889,0.7884615384615384,0.11388888888888889,0.19902912621359223,"[[169, 11], [319, 41]]",2026-09-16,random_forest,540,shuffled_1,window
0.3333333333333333,0.5,0.0,0.0,0.0,"[[3, 0], [6, 0]]",2026-09-16,random_forest,9,shuffled_1,session
0.3574074074074074,0.5083333333333333,0.7407407407407407,0.05555555555555555,0.10335917312661498,"[[173, 7], [340, 20]]",2026-09-16,cnn_lstm,540,shuffled_1,window
0.3333333333333333,0.5,0.0,0.0,0.0,"[[3, 0], [6, 0]]",2026-09-16,cnn_lstm,9,shuffled_1,session
0.4666666666666667,0.36041666666666666,0.7247191011235955,0.5375,0.6172248803827751,"[[11, 49], [111, 129]]",2026-09-17,svm,300,shuffled_1,window
0.6,0.375,0.75,0.75,0.75,"[[0, 1], [1, 3]]",2026-09-17,svm,5,shuffled_1,session
0.6133333333333333,0.4395833333333333,0.7743362831858407,0.7291666666666666,0.7510729613733905,"[[9, 51], [65, 175]]",2026-09-17,random_forest,300,shuffled_1,window
0.8,0.5,0.8,1.0,0.8888888888888888,"[[0, 1], [0, 4]]",2026-09-17,random_forest,5,shuffled_1,session
0.7,0.45625000000000004,0.7840909090909091,0.8625,0.8214285714285714,"[[3, 57], [33, 207]]",2026-09-17,cnn_lstm,300,shuffled_1,window
0.8,0.5,0.8,1.0,0.8888888888888888,"[[0, 1], [0, 4]]",2026-09-17,cnn_lstm,5,shuffled_1,session
0.5638888888888889,0.5638888888888889,0.5672514619883041,0.5388888888888889,0.5527065527065527,"[[106, 74], [83, 97]]",2026-09-21,svm,360,shuffled_1,window
0.8333333333333334,0.8333333333333333,1.0,0.6666666666666666,0.8,"[[3, 0], [1, 2]]",2026-09-21,svm,6,shuffled_1,session
0.5388888888888889,0.5388888888888889,0.5507246376811594,0.4222222222222222,0.4779874213836478,"[[118, 62], [104, 76]]",2026-09-21,random_forest,360,shuffled_1,window
0.5,0.5,0.0,0.0,0.0,"[[3, 0], [3, 0]]",2026-09-21,random_forest,6,shuffled_1,session
0.5333333333333333,0.5333333333333333,0.5394736842105263,0.45555555555555555,0.4939759036144578,"[[110, 70], [98, 82]]",2026-09-21,cnn_lstm,360,shuffled_1,window
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[2, 1], [1, 2]]",2026-09-21,cnn_lstm,6,shuffled_1,session
0.5166666666666667,0.5048611111111111,0.4342857142857143,0.4222222222222222,0.428169014084507,"[[141, 99], [104, 76]]",2026-09-22,svm,420,shuffled_1,window
0.5714285714285714,0.5416666666666666,0.5,0.3333333333333333,0.4,"[[3, 1], [2, 1]]",2026-09-22,svm,7,shuffled_1,session
0.5928571428571429,0.5645833333333333,0.5365853658536586,0.36666666666666664,0.43564356435643564,"[[183, 57], [114, 66]]",2026-09-22,random_forest,420,shuffled_1,window
0.5714285714285714,0.5,0.0,0.0,0.0,"[[4, 0], [3, 0]]",2026-09-22,random_forest,7,shuffled_1,session
0.4976190476190476,0.4909722222222222,0.418848167539267,0.4444444444444444,0.431266846361186,"[[129, 111], [100, 80]]",2026-09-22,cnn_lstm,420,shuffled_1,window
0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,0.5,"[[4, 0], [2, 1]]",2026-09-22,cnn_lstm,7,shuffled_1,session
