accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels,granularity
0.7855555555555556,0.7855555555555556,0.7775377969762419,0.8,0.7886089813800657,"[[347, 103], [90, 360]]",2026-09-21,hist_gradient_boost,900,real,window
1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 3]]",2026-09-21,hist_gradient_boost,6,real,session
0.7588888888888888,0.758888888888889,0.7219047619047619,0.8422222222222222,0.7774358974358975,"[[304, 146], [71, 379]]",2026-09-21,cnn_bilstm,900,real,window
1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 3]]",2026-09-21,cnn_bilstm,6,real,session
0.7455555555555555,0.7455555555555555,0.6826446280991736,0.9177777777777778,0.7829383886255924,"[[258, 192], [37, 413]]",2026-09-21,cnn_attention,900,real,window
0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,"[[2, 1], [0, 3]]",2026-09-21,cnn_attention,6,real,session
0.7877777777777778,0.7877777777777778,0.7564356435643564,0.8488888888888889,0.8,"[[327, 123], [68, 382]]",2026-09-21,ensemble,900,real,window
1.0,1.0,1.0,1.0,1.0,"[[3, 0], [0, 3]]",2026-09-21,ensemble,6,real,session
0.7571428571428571,0.7466666666666666,0.7372262773722628,0.6733333333333333,0.7038327526132404,"[[492, 108], [147, 303]]",2026-09-22,svm,1050,real,window
1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 3]]",2026-09-22,svm,7,real,session
0.7380952380952381,0.72,0.7437325905292479,0.5933333333333334,0.6600741656365884,"[[508, 92], [183, 267]]",2026-09-22,random_forest,1050,real,window
1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 3]]",2026-09-22,random_forest,7,real,session
0.7590476190476191,0.7716666666666667,0.6707105719237435,0.86,0.75365141187926,"[[410, 190], [63, 387]]",2026-09-22,hist_gradient_boost,1050,real,window
1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 3]]",2026-09-22,hist_gradient_boost,7,real,session
0.7609523809523809,0.7447222222222222,0.7696476964769647,0.6311111111111111,0.6935286935286935,"[[515, 85], [166, 284]]",2026-09-22,cnn_bilstm,1050,real,window
1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 3]]",2026-09-22,cnn_bilstm,7,real,session
0.8057142857142857,0.8013888888888889,0.7745535714285714,0.7711111111111111,0.7728285077951003,"[[499, 101], [103, 347]]",2026-09-22,cnn_attention,1050,real,window
1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 3]]",2026-09-22,cnn_attention,7,real,session
0.82,0.815,0.7959183673469388,0.78,0.7878787878787878,"[[510, 90], [99, 351]]",2026-09-22,ensemble,1050,real,window
1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 3]]",2026-09-22,ensemble,7,real,session
0.69,0.69,0.7134831460674157,0.635,0.671957671957672,"[[447, 153], [219, 381]]",2026-09-24,svm,1200,real,window
1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 4]]",2026-09-24,svm,8,real,session
0.6933333333333334,0.6933333333333334,0.79,0.5266666666666666,0.632,"[[516, 84], [284, 316]]",2026-09-24,random_forest,1200,real,window
0.875,0.875,1.0,0.75,0.8571428571428571,"[[4, 0], [1, 3]]",2026-09-24,random_forest,8,real,session
0.7308333333333333,0.7308333333333333,0.8597402597402597,0.5516666666666666,0.6720812182741117,"[[546, 54], [269, 331]]",2026-09-24,hist_gradient_boost,1200,real,window
0.875,0.875,1.0,0.75,0.8571428571428571,"[[4, 0], [1, 3]]",2026-09-24,hist_gradient_boost,8,real,session
0.695,0.6950000000000001,0.7127272727272728,0.6533333333333333,0.6817391304347826,"[[442, 158], [208, 392]]",2026-09-24,cnn_bilstm,1200,real,window
1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 4]]",2026-09-24,cnn_bilstm,8,real,session
0.6575,0.6575,0.6492890995260664,0.685,0.6666666666666666,"[[378, 222], [189, 411]]",2026-09-24,cnn_attention,1200,real,window
0.875,0.875,0.8,1.0,0.8888888888888888,"[[3, 1], [0, 4]]",2026-09-24,cnn_attention,8,real,session
0.7458333333333333,0.7458333333333333,0.8028747433264887,0.6516666666666666,0.7194112235510579,"[[504, 96], [209, 391]]",2026-09-24,ensemble,1200,real,window
1.0,1.0,1.0,1.0,1.0,"[[4, 0], [0, 4]]",2026-09-24,ensemble,8,real,session
