timestamp,stage,task,held_out,accuracy,eer,auroc,false_accept_unauthorized,false_accept_none,n_train,n_test,notes
2026-09-15T23:08:46.912873+00:00,eval_loo,taskD_auth_vs_nonauth,divya,0.8265129682997118,0.19196803196803197,0.8904395604395604,0.6746575342465754,0.00375234521575985,4878,1735,"leave-one-unauthorized-person-out, includes none"
2026-09-15T23:09:50.394743+00:00,eval_loo,taskD_auth_vs_nonauth,harshitha,0.8329493087557603,0.1583069472899981,0.932351062980603,0.6109215017064846,0.00375234521575985,4877,1736,"leave-one-unauthorized-person-out, includes none"
2026-09-15T23:10:53.056559+00:00,eval_loo,taskD_auth_vs_nonauth,sumanth,0.8495981630309989,0.1573489010989011,0.9244888524936603,0.5050167224080268,0.009380863039399626,4871,1742,"leave-one-unauthorized-person-out, includes none"
2026-09-15T23:12:02.062465+00:00,eval_split,task0_presence,fold0,0.9922057677318784,0.007085678549093205,0.9998549093183239,1.0,0.01125703564727955,5330,1283,session-disjoint 5-fold (all folds)
2026-09-15T23:13:08.852644+00:00,eval_split,task0_presence,fold1,0.999219968798752,0.000945179584120983,0.9999673643171485,1.0,0.001890359168241966,5331,1282,session-disjoint 5-fold (all folds)
2026-09-15T23:14:09.673190+00:00,eval_split,task0_presence,fold2,0.999219968798752,0.0,1.0,1.0,0.0,5331,1282,session-disjoint 5-fold (all folds)
2026-09-15T23:15:11.700589+00:00,eval_split,task0_presence,fold3,0.9936215450035436,0.005167465130221181,0.9999469459432216,0.9842696629213483,0.0,5202,1411,session-disjoint 5-fold (all folds)
2026-09-15T23:16:12.981402+00:00,eval_split,task0_presence,fold4,0.996309963099631,nan,nan,1.0,,5258,1355,session-disjoint 5-fold (all folds)
2026-09-15T23:16:55.958002+00:00,eval_split,taskE_motion_standing_vs_walking,fold0,0.5971428571428572,0.20827373748487185,0.8835207393552647,0.6266968325791855,,3765,1050,session-disjoint 5-fold (all folds)
2026-09-15T23:17:41.647894+00:00,eval_split,taskE_motion_standing_vs_walking,fold1,0.9613259668508287,0.051389731871898346,0.9892802313542076,0.5016835016835017,,3910,905,session-disjoint 5-fold (all folds)
2026-09-15T23:18:30.902116+00:00,eval_split,taskE_motion_standing_vs_walking,fold2,0.8589132507149666,nan,nan,0.6506849315068494,,3766,1049,session-disjoint 5-fold (all folds)
2026-09-15T23:19:17.868408+00:00,eval_split,taskE_motion_standing_vs_walking,fold3,0.6839779005524862,0.3394022126465138,0.7225584684714319,0.8422818791946308,,3910,905,session-disjoint 5-fold (all folds)
2026-09-15T23:20:08.707750+00:00,eval_split,taskE_motion_standing_vs_walking,fold4,0.8498896247240618,0.14887608163801452,0.9365384299623992,,,3909,906,session-disjoint 5-fold (all folds)
2026-09-15T23:21:29.281984+00:00,final,taskD_auth_vs_nonauth,,0.9119915318312415,,,,,6613,6613,in-sample sanity only; trivial_baseline=0.5492; checkpoint=whofi_taskD_calibA_day3ch6.pt
2026-09-15T23:22:53.194717+00:00,final,task0_presence,,0.9996975654014819,,,,,6613,6613,in-sample sanity only; trivial_baseline=0.7281; checkpoint=whofi_task0_presence_calibA_day3ch6.pt
2026-09-15T23:23:55.734797+00:00,final,taskE_motion_standing_vs_walking,,0.9273104880581516,,,,,4815,4815,in-sample sanity only; trivial_baseline=0.6264; checkpoint=whofi_taskE_motion_calibA_day3ch6.pt
