timestamp,split_type,train,test,fold,accuracy,auroc,eer,far_unauthorized,far_none,frr,recall_anjali,recall_barath,n_train,n_test
2026-09-23T18:55:55.732132+00:00,same_day,2026-09-21,2026-09-21,0,0.5857093184979137,,,,,0.41429068150208626,0.5633724176437744,0.6225806451612903,25806,5752
2026-09-23T18:55:55.732132+00:00,same_day,2026-09-21,2026-09-21,1,0.4700371747211896,0.4176757817007038,0.5625429791161878,0.6755140186915888,,0.43382716049382714,,0.5661728395061728,24833,6725
2026-09-23T18:55:55.732132+00:00,same_day,2026-09-21,2026-09-21,2,0.5849122197114549,,,,,0.4150877802885451,0.5992053637943879,0.5515643105446119,25805,5753
2026-09-23T18:55:55.732132+00:00,same_day,2026-09-21,2026-09-21,3,0.5951175945221793,0.44943339667785653,0.5474897930597256,0.7037793667007151,,0.35389440669106115,0.6432748538011696,0.6473070240754529,24840,6718
2026-09-23T18:55:55.732132+00:00,same_day,2026-09-21,2026-09-21,4,0.4590015128593041,0.5315105298255427,0.4757039602469507,0.5545816733067729,0.6670676691729324,0.32610837438423645,0.6738916256157635,,24948,6610
2026-09-23T18:55:55.732132+00:00,same_day,2026-09-22,2026-09-22,0,0.8178330466992989,0.8866360720860302,0.1785939039933994,0.3067434210526316,0.08151093439363817,0.2087251828631139,,0.7912748171368861,31154,7559
2026-09-23T18:55:55.732132+00:00,same_day,2026-09-22,2026-09-22,1,0.7562840264102861,0.846430589974349,0.2148809026140447,0.2143933685003768,0.3945469125902165,0.1581061692969871,0.8418938307030129,,30080,8633
2026-09-23T18:55:55.732132+00:00,same_day,2026-09-22,2026-09-22,2,0.7972646822204345,0.8638938412611854,0.20440210579030138,0.20811017597551645,,0.20159323687205333,0.7725559185725056,0.8457642725598526,31255,7458
2026-09-23T18:55:55.732132+00:00,same_day,2026-09-22,2026-09-22,3,0.819047619047619,0.8854553369929521,0.17951088226663814,0.22841225626740946,0.11972207375734902,0.19186456618857278,0.685016754427956,0.9269870609981515,31153,7560
2026-09-23T18:55:55.732132+00:00,same_day,2026-09-22,2026-09-22,4,0.8925763028122085,0.9357559180439889,0.1253962917506169,0.15743440233236153,,0.09623226227369108,0.9368421052631579,0.886661717396684,31210,7503
2026-09-23T18:55:55.732132+00:00,cross_day_pairwise,2026-09-21,2026-09-22,0,0.49990959109343114,0.5080172392977026,0.49806426094946205,0.5164683782091422,0.4545058139534884,0.5077574639382757,0.5436743107446534,0.4431790249897583,31558,38713
2026-09-23T18:55:55.732132+00:00,cross_day_pairwise,2026-09-22,2026-09-21,0,0.5752899423284111,0.555116400111521,0.4566272013507162,0.5905479731106131,0.38706766917293234,0.3951723546561482,0.5613710459071284,0.6460125260960334,38713,31558
2026-09-24T17:26:25.181929+00:00,same_day,2026-09-21,2026-09-21,0,0.5794871794871795,,,,,0.4205128205128205,0.5457646389994315,0.5947125256673511,25903,5655
2026-09-24T17:26:25.181929+00:00,same_day,2026-09-21,2026-09-21,1,0.5537375681745268,0.5891704782867416,0.4350802323840867,0.6486210418794689,0.22555205047318613,0.4667669927263607,0.5458036204059243,0.5226432532347505,25324,6234
2026-09-24T17:26:25.181929+00:00,same_day,2026-09-21,2026-09-21,2,0.4142777880525245,0.31855231890316005,0.6372169987045864,0.7434996486296557,,0.5293674698795181,0.48760724499523356,0.4517497348886532,26151,5407
2026-09-24T17:26:25.181929+00:00,same_day,2026-09-21,2026-09-21,3,0.5478310286039022,0.49646632159235815,0.5028854759886894,0.5864541832669322,,0.4102882703777336,0.5552099533437014,0.6214797136038186,26279,5279
2026-09-24T17:26:25.181929+00:00,same_day,2026-09-21,2026-09-21,4,0.5900033396415452,0.6009588359493815,0.42905346853674403,0.6222044728434505,0.509965969859018,0.32692985548114206,0.7307486631016042,0.56153050672182,22575,8983
2026-09-24T17:26:25.181929+00:00,same_day,2026-09-22,2026-09-22,0,0.7349397590361446,0.8315904973440637,0.22728740833971348,0.19357306809487376,0.10536779324055666,0.3844669561022672,0.6155330438977328,,30745,7968
2026-09-24T17:26:25.181929+00:00,same_day,2026-09-22,2026-09-22,1,0.7969435049480146,0.8647839620233871,0.19991766942136505,0.14067055393586006,0.34362469927826783,0.13869322322079183,0.8613067767792082,,30730,7983
2026-09-24T17:26:25.181929+00:00,same_day,2026-09-22,2026-09-22,2,0.8305817610062893,0.892954199322948,0.16884033039730925,0.21796456530696334,0.19668626402993053,0.14069411364409662,,0.8593058863559033,28537,10176
2026-09-24T17:26:25.181929+00:00,same_day,2026-09-22,2026-09-22,3,0.8232091690544413,0.8715306667952907,0.19153130991571105,0.22841225626740946,,0.1634199134199134,0.7928994082840237,0.9048059149722736,31733,6980
2026-09-24T17:26:25.181929+00:00,same_day,2026-09-22,2026-09-22,4,0.8094898323225116,0.8510068486047347,0.216789943549492,0.3264033264033264,,0.14340619745375932,,0.8565938025462407,33107,5606
2026-09-24T17:26:25.181929+00:00,cross_day_pairwise,2026-09-21,2026-09-22,0,0.49990959109343114,0.5080172392977026,0.49806426094946205,0.5164683782091422,0.4545058139534884,0.5077574639382757,0.5436743107446534,0.4431790249897583,31558,38713
2026-09-24T17:26:25.181929+00:00,cross_day_pairwise,2026-09-22,2026-09-21,0,0.5752899423284111,0.555116400111521,0.4566272013507162,0.5905479731106131,0.38706766917293234,0.3951723546561482,0.5613710459071284,0.6460125260960334,38713,31558
