timestamp,experiment,model,held_out_person,accuracy_mean,accuracy_std,auroc_mean,auroc_std,far_unauthorized_mean,far_none_mean,recall_anjali_mean,recall_barath_mean,eer_mean,far_unauthorized_at_eer_mean,far_none_at_eer_mean,far_overall_at_90recall_mean,n_train,n_test,epochs,seeds
2026-09-20T07:18:22.274962+00:00,E1_raw,bilstm,abdul,0.8354169963601836,0.0,0.9588535447002812,0.0,0.8361204013377926,0.0014767413241447206,0.4161184210526316,0.6819866567828021,0.06694048123607588,0.939799331103679,0.002707359094265321,0.0639614855570839,11806,6319,1,[0]
2026-09-20T07:18:31.321309+00:00,E1_raw,bilstm,divya,0.8443703811041878,0.0,0.9635409173442608,0.0,0.6946651532349603,0.005414718188530642,0.45723684210526316,0.9184581171237954,0.11076158235394312,0.6118047673098751,0.0019689884321929607,0.11549352750809061,11224,6901,1,[0]
2026-09-20T07:18:40.850650+00:00,E1_raw,bilstm,harshitha,0.8737525740535403,0.0,0.9728117449873849,0.0,0.6996587030716723,0.0017228648781688408,0.5148026315789473,0.7850259451445515,0.06033643209631501,0.8498293515358362,0.0034457297563376815,0.05601469237832874,11812,6313,1,[0]
2026-09-20T07:18:49.592322+00:00,E1_raw,bilstm,kishore,0.8205128205128205,0.0,0.9562378573402915,0.0,0.8523489932885906,0.0017228648781688408,0.2450657894736842,0.6931060044477391,0.0715406462516684,0.959731543624161,0.006399212404627123,0.0699380875945884,11807,6318,1,[0]
2026-09-20T07:18:58.355585+00:00,E1_raw,bilstm,manas,0.8668568711364717,0.0,0.9665176055411945,0.0,0.8200692041522492,0.0017228648781688408,0.37664473684210525,0.8391401037805782,0.06290543091917399,0.9100346020761245,0.002707359094265321,0.06066176470588235,11816,6309,1,[0]
2026-09-20T07:19:07.213624+00:00,E1_raw,bilstm,siva,0.8517814726840855,0.0,0.9658801215579662,0.0,0.6406779661016949,0.0014767413241447206,0.2845394736842105,0.7731653076352853,0.05572850944222302,0.7762711864406779,0.0034457297563376815,0.04910509407985315,11810,6315,1,[0]
2026-09-20T07:19:15.981851+00:00,E1_raw,bilstm,sumanth,0.8643990929705215,0.0,0.9641724404012153,0.0,0.6134453781512605,0.0034457297563376815,0.4555921052631579,0.8613787991104522,0.08575238165864499,0.6453781512605042,0.0036918533103618015,0.08136539287247746,11510,6615,1,[0]
2026-09-20T07:21:44.479344+00:00,E1_raw,bilstm,abdul,0.8648520335496124,0.014915002384083482,0.9589635828418909,0.002227273302041724,0.8851727982162765,0.0021330708015423745,0.6902412280701755,0.7091672844082035,0.06762501765959884,0.9498327759197324,0.002707359094265321,0.06548983646645269,11806,6319,3,"[0, 1, 2]"
2026-09-20T07:22:58.336614+00:00,E1_raw,bilstm,divya,0.8216200550644834,0.010956186274659474,0.921759905801044,0.0020559795855327606,0.7805524025728339,0.002297153170891788,0.8119517543859649,0.6889053619965407,0.14103928916141487,0.7809307604994324,0.002297153170891788,0.15055285868392665,11224,6901,3,"[0, 1, 2]"
2026-09-20T07:24:12.708503+00:00,E1_raw,bilstm,harshitha,0.8792966893711389,0.0053826051797347604,0.9723718268452788,0.0008544241738802573,0.8327645051194539,0.004840429895807695,0.712719298245614,0.7600691870521373,0.06678663581041991,0.9101251422070534,0.00598900648125359,0.0640495867768595,11812,6313,3,"[0, 1, 2]"
2026-09-20T07:25:29.142315+00:00,E1_raw,bilstm,kishore,0.8797615279096761,0.021614969230936643,0.9706934980706298,0.006634529355367564,0.8378076062639822,0.002461235540241201,0.8481359649122807,0.6978008401284902,0.06187086800983821,0.8747203579418343,0.002297153170891788,0.05541542459680501,11807,6318,3,"[0, 1, 2]"
2026-09-20T07:26:48.923183+00:00,E1_raw,bilstm,manas,0.8893644000634015,0.0022453140340123598,0.9731360040503171,0.0022555189221060714,0.8281430219146482,0.0023791943555664945,0.5893640350877193,0.8522362243637263,0.05964055549084732,0.8638985005767013,0.002461235540241201,0.05583639705882353,11816,6309,3,"[0, 1, 2]"
2026-09-20T07:28:16.616927+00:00,E1_raw,bilstm,siva,0.8749538136711533,0.016285156212528826,0.9657300970404776,0.0029923903146939633,0.8677966101694915,0.0039379768643859215,0.6365131578947368,0.780084012849024,0.06500181076876259,0.8949152542372882,0.0046763475264582815,0.06187853755545356,11810,6315,3,"[0, 1, 2]"
2026-09-20T07:29:33.985469+00:00,E1_raw,bilstm,sumanth,0.8636432350718065,0.013111611143161415,0.9649828548660958,0.0029882359290859025,0.6033613445378152,0.0023791943555664945,0.7225877192982456,0.7296763034346428,0.08769105029641512,0.6700280112044817,0.0023791943555664945,0.08451409760984685,11510,6615,3,"[0, 1, 2]"
2026-09-20T07:30:56.887040+00:00,E9_paper_hampel_butterworth,bilstm,abdul,0.8708656432979902,0.011003602994172005,0.9581277537357323,0.0018766407736299133,0.9253065774804905,0.0035277709410123878,0.6913377192982456,0.749938225846306,0.06971683570290202,0.9620958751393535,0.004102059233735335,0.06831728564878496,11806,6319,3,"[0, 1, 2]"
2026-09-20T07:33:21.481482+00:00,E9_paper_hampel_butterworth,bilstm,divya,0.823310631309472,0.009599138962087498,0.9164896370950627,0.006080761158960495,0.8327657964434355,0.004512265157108869,0.7861842105263158,0.749938225846306,0.1389048572077443,0.76579644343549,0.0028714414636147345,0.1459007551240561,11224,6901,3,"[0, 1, 2]"
2026-09-20T07:35:16.947406+00:00,E9_paper_hampel_butterworth,bilstm,harshitha,0.8735941707587518,0.0066567088197214495,0.9702931789207164,0.005648921005300659,0.8248009101251422,0.0034457297563376815,0.6474780701754387,0.7568569310600445,0.06557830280945437,0.9158134243458477,0.004266141603084749,0.0630547903275176,11812,6313,3,"[0, 1, 2]"
2026-09-20T07:37:13.138253+00:00,E9_paper_hampel_butterworth,bilstm,kishore,0.8675741268333862,0.019490406714015193,0.964303807563916,0.007103795891793037,0.8870246085011185,0.002707359094265321,0.6441885964912281,0.7442550037064493,0.06743295459112492,0.9485458612975393,0.002789400278940028,0.06405258732706566,11807,6318,3,"[0, 1, 2]"
2026-09-20T07:39:14.227036+00:00,E9_paper_hampel_butterworth,bilstm,manas,0.8867226713161092,0.0063141185582193705,0.9708928074934624,0.0006903162290982184,0.8362168396770473,0.002707359094265321,0.6195175438596491,0.8290091425747468,0.06202005025950083,0.8881199538638985,0.0032816473869882678,0.05951286764705882,11816,6309,3,"[0, 1, 2]"
2026-09-20T07:41:09.707925+00:00,E9_paper_hampel_butterworth,bilstm,siva,0.8829770387965162,0.013448522564211501,0.9679096443193647,0.004016334220101212,0.7762711864406779,0.0035277709410123878,0.6063596491228069,0.8099827032369656,0.0606458820273012,0.840677966101695,0.004020018049060628,0.05583601040232522,11810,6315,3,"[0, 1, 2]"
2026-09-20T07:43:19.594839+00:00,E9_paper_hampel_butterworth,bilstm,sumanth,0.8678760393046107,0.015372497138346137,0.9614922859513021,0.003903654613119793,0.5523809523809523,0.002379194355566494,0.6173245614035089,0.7753891771682727,0.08446279421473225,0.6425770308123249,0.0027073590942653207,0.08115070845856591,11510,6615,3,"[0, 1, 2]"
