timestamp,stage,task,preprocessing,model,split_type,fold,accuracy,eer,auroc,n_train,n_test,notes
2026-09-09T23:49:27.880835+00:00,1,task0_presence,calibA,random_forest,session_disjoint_kfold,2,0.9160571229536747,0.014934198261832248,0.9980025595600941,12063,2871,
2026-09-09T23:49:27.880835+00:00,1,task0_presence,calibA,random_forest,session_disjoint_kfold,3,0.9989547038327526,0.0013238643761748236,0.9999965584115005,12064,2870,
2026-09-09T23:49:27.880835+00:00,1,task0_presence,calibA,random_forest,session_disjoint_kfold,4,0.9993466187520418,0.00019364833462431896,0.9999955529610003,11873,3061,
2026-09-09T23:49:27.880835+00:00,1,task0_presence,calibA,random_forest,session_disjoint_kfold,mean,0.8853515792236981,0.08626902421797553,0.9471209896178813,,,std=0.1583
2026-09-09T23:49:27.880835+00:00,1,task0_presence,calibA,random_forest,naive_random_LEAKY,0,0.9979906229068989,0.0007252924487971748,0.9999995142046558,11948,2986,"leakage-prone, for comparison only"
2026-09-09T23:50:21.616348+00:00,1,taskA_threeway,calibA,random_forest,session_disjoint_kfold,0,0.4069880297638305,,,11843,3091,
2026-09-09T23:50:21.616348+00:00,1,taskA_threeway,calibA,random_forest,session_disjoint_kfold,1,0.5905951989477146,,,11893,3041,
2026-09-09T23:50:21.616348+00:00,1,taskA_threeway,calibA,random_forest,session_disjoint_kfold,2,0.7621037965865552,,,12063,2871,
2026-09-09T23:50:21.616348+00:00,1,taskA_threeway,calibA,random_forest,session_disjoint_kfold,3,0.6885017421602787,,,12064,2870,
2026-09-09T23:50:21.616348+00:00,1,taskA_threeway,calibA,random_forest,session_disjoint_kfold,4,0.6664488729173472,,,11873,3061,
2026-09-09T23:50:21.616348+00:00,1,taskA_threeway,calibA,random_forest,session_disjoint_kfold,mean,0.6229275280751453,,,,,std=0.1210
2026-09-09T23:50:21.616348+00:00,1,taskA_threeway,calibA,random_forest,naive_random_LEAKY,0,0.8958472873409243,,,11948,2986,"leakage-prone, for comparison only"
2026-09-09T23:51:20.161602+00:00,1,taskB_identity,calibA,random_forest,session_disjoint_kfold,0,0.8895800933125972,,,4203,643,
2026-09-09T23:51:20.161602+00:00,1,taskB_identity,calibA,random_forest,session_disjoint_kfold,1,0.8267716535433071,,,4211,635,
2026-09-09T23:51:20.161602+00:00,1,taskB_identity,calibA,random_forest,session_disjoint_kfold,2,0.023215821152192607,,,3683,1163,
2026-09-09T23:51:20.161602+00:00,1,taskB_identity,calibA,random_forest,session_disjoint_kfold,3,0.02392739273927393,,,3634,1212,
2026-09-09T23:51:20.161602+00:00,1,taskB_identity,calibA,random_forest,session_disjoint_kfold,4,0.663872590108969,,,3653,1193,
2026-09-09T23:51:20.161602+00:00,1,taskB_identity,calibA,random_forest,session_disjoint_kfold,mean,0.485473510171268,,,,,std=0.3843
2026-09-09T23:51:20.161602+00:00,1,taskB_identity,calibA,random_forest,naive_random_LEAKY,0,0.9153766769865841,,,3877,969,"leakage-prone, for comparison only"
2026-09-09T23:51:36.426909+00:00,1,taskC_openset_proxy,calibA,random_forest,leave_one_unauth_person_out,divya,0.5850945494994438,0.37087719298245614,0.682669359967082,7759,1798,
2026-09-09T23:51:36.426909+00:00,1,taskC_openset_proxy,calibA,random_forest,leave_one_unauth_person_out,harshitha,0.5457079152731327,0.4253233780586913,0.6223762991286621,7763,1794,
2026-09-09T23:51:36.426909+00:00,1,taskC_openset_proxy,calibA,random_forest,leave_one_unauth_person_out,kishore,0.41747022121384003,0.5496657421806115,0.44192090033185305,7794,1763,
2026-09-09T23:51:36.426909+00:00,1,taskC_openset_proxy,calibA,random_forest,leave_one_unauth_person_out,manas,0.503337041156841,0.5178259080537164,0.4857374780234167,7759,1798,
