timestamp,epochs,split_type,train,test,fold,seed,accuracy,auroc,eer,far_unauthorized,far_none,frr,recall_anjali,recall_barath,n_train,n_test
2026-09-24T07:39:26.745993+00:00,8,same_day,2026-09-21,2026-09-21,0,0,0.8381432545201669,,,,,0.16185674547983311,0.8213288665549973,0.8658986175115208,25806,5752
2026-09-24T07:39:26.745993+00:00,8,same_day,2026-09-21,2026-09-21,0,1,0.9062934631432545,,,,,0.09370653685674547,0.8967057509771078,0.9221198156682028,25806,5752
2026-09-24T07:39:26.745993+00:00,8,same_day,2026-09-21,2026-09-21,0,2,0.8602225312934632,,,,,0.13977746870653684,0.8372417643774428,0.8981566820276498,25806,5752
2026-09-24T07:48:03.055086+00:00,8,same_day,2026-09-21,2026-09-21,1,0,0.5910780669144982,0.47288251990308067,0.5147905849775009,0.9637383177570094,,0.04246913580246914,,0.9575308641975309,24833,6725
2026-09-24T07:48:03.055086+00:00,8,same_day,2026-09-21,2026-09-21,1,1,0.5909293680297398,0.50591106495904,0.49078920041536866,0.9577570093457944,,0.04666666666666667,,0.9533333333333334,24833,6725
2026-09-24T07:48:03.055086+00:00,8,same_day,2026-09-21,2026-09-21,1,2,0.5909293680297398,0.4918220376139379,0.5018287758163148,0.9689719626168224,,0.03925925925925926,,0.9607407407407408,24833,6725
2026-09-24T08:05:39.956926+00:00,8,same_day,2026-09-21,2026-09-21,2,0,0.8303493829306449,,,,,0.1696506170693551,0.8152470821951825,0.86558516801854,25805,5753
2026-09-24T08:05:39.956926+00:00,8,same_day,2026-09-21,2026-09-21,2,1,0.888753693725013,,,,,0.11124630627498697,0.8750931214303451,0.9206257242178447,25805,5753
2026-09-24T08:05:39.956926+00:00,8,same_day,2026-09-21,2026-09-21,2,2,0.8534677559534156,,,,,0.14653224404658438,0.8440526446486218,0.8754345307068366,25805,5753
2026-09-24T08:15:37.935807+00:00,8,same_day,2026-09-21,2026-09-21,3,0,0.8008335814230426,0.47686145063051744,0.5208810886785948,0.9530132788559755,,0.0705697856769472,0.916374269005848,0.9349714569372053,24840,6718
2026-09-24T08:15:37.935807+00:00,8,same_day,2026-09-21,2026-09-21,3,1,0.7298303066388806,0.4811765849168129,0.5057276157025359,0.8478038815117467,,0.1716326886217111,0.8093567251461988,0.8364358401588483,24840,6718
2026-09-24T08:15:37.935807+00:00,8,same_day,2026-09-21,2026-09-21,3,2,0.7609407561774337,0.4719085994951305,0.5207068422942072,0.9141981613891726,,0.12388917929952953,0.8584795321637427,0.8835939439066766,24840,6718
2026-09-24T08:24:11.065510+00:00,8,same_day,2026-09-21,2026-09-21,4,0,0.3093797276853253,0.3334208488394605,0.6260454535676641,0.9609561752988047,0.991578947368421,0.030541871921182268,0.9694581280788177,,24948,6610
2026-09-24T08:24:11.065510+00:00,8,same_day,2026-09-21,2026-09-21,4,1,0.30559757942511345,0.31369361326822554,0.638890442489298,0.9609561752988047,0.9930827067669173,0.04039408866995074,0.9596059113300492,,24948,6610
2026-09-24T08:24:11.065510+00:00,8,same_day,2026-09-21,2026-09-21,4,2,0.30680786686838124,0.3458103340718911,0.6122432077785187,0.9745019920318725,0.9927819548872181,0.02857142857142857,0.9714285714285714,,24948,6610
